lsoa,mean_household_income,energy efficiency,fuel poverty,year_built,heating score,ownership score
E01000242,50802,60.93175853018373,7.3,1929,118.9161262429745,84.22309264305176
E01000244,39921,62.87428571428571,10.1,1918,115.94811932555122,81.24999999999999
E01000245,31050,65.64937993235625,9.1,1972,160.0553393860787,118.59877384196184
E01000246,53918,59.62305295950156,8.7,1939,132.03112840466926,97.2033378746594
E01000247,49129,64.49330357142857,7.8,1992,150.41201902291397,106.59536784741144
E01000252,43781,64.8926014319809,9.1,1992,151.52269779507134,106.65940054495913
E01000253,72184,59.28395061728395,11.4,1939,119.22308690012969,89.73092643051771
E01000255,40421,61.25358851674641,11.5,1954,105.7116299178556,77.20538147138963
E01000256,55215,61.23793103448275,10.1,1939,131.79939472546474,95.29666212534056
E01000257,31707,69.57818930041152,13.6,1939,144.45957630782533,100.7983651226158
E01000258,54660,65.01894736842105,12.2,1918,141.05490704712494,101.01192098092642
E01000259,45908,68.1551094890511,14.7,1939,197.47859922178984,138.76702997275206
E01000260,40870,68.09881422924902,10.3,1939,152.88067444876782,107.31709809264304
E01000261,60420,62.58791208791209,12.3,1918,130.58668396022483,93.13044959128064
E01000263,79007,56.443243243243245,9.0,1939,100.42585386943362,74.55279291553134
E01000264,41096,61.20289855072464,10.9,1929,127.3458711629918,89.44039509536785
E01000265,36858,62.57429718875502,8.3,1939,159.11716385646346,111.08480926430518
E01000266,65149,51.77717391304348,10.4,1939,104.12062256809338,75.96934604904631
E01000267,53127,60.34027777777778,11.3,1939,114.07695633376566,83.45980926430516
E01000268,40832,64.2175925925926,9.7,1939,148.2516212710765,103.32595367847412
E01000269,51005,57.29059829059829,12.8,1939,108.67099005620403,79.24284741144413
E01000270,55089,61.73961218836565,10.5,1929,126.34370946822308,91.28133514986376
E01000271,56858,61.14239482200647,14.6,1939,117.66234327712928,86.30483651226157
E01000272,74579,60.49568965517241,10.0,1939,95.11629917855598,69.91791553133515
E01000273,45090,60.82847896440129,16.3,1972,130.45784695201036,93.45197547683922
E01000274,38657,63.7679012345679,11.9,1929,140.9489840034587,101.82731607629424
E01000275,51763,69.48899755501222,12.6,1982,130.11067877215734,92.20878746594003
